"Player 1","Player 2","Result","Moves","Year","Opening"
"Jan-Krzysztof Duda                                                          (2731)","Hikaru Nakamura                                                          (2749)","½-½",107,2019,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation"
"Alexander Grischuk                                                          (2766)","Hikaru Nakamura                                                          (2754)","1-0",81,2019,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Ian Nepomniachtchi                                                          (2773)","Hikaru Nakamura                                                          (2761)","0-1",40,2019,"1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6                                                                                                                English Opening: Four Knights Variation"
"Alexander Riazantsev                                                          (2639)","Hikaru Nakamura                                                          (2736)","0-1",76,2019,"1. d4 e6 2. c4 b6 3. Nf3 Bb7                                                                                                                Queen's Pawn Opening: English Defense"
"Jan-Krzysztof Duda                                                          (2731)","Hikaru Nakamura                                                          (2749)","1-0",78,2019,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation"
"Wang Yue                                                          (2684)","Hikaru Nakamura                                                          (2749)","½-½",106,2019,"1. d4 Na6 2. e4 c6 3. Nc3 Nc7                                                                                                                Queen's Pawn Opening: Australian Defense"
"Ladia Jirasek                                                          (2376)","Hikaru Nakamura                                                          (2749)","0-1",61,2019,"1. e4 c6 2. d4 d5 3. exd5 cxd5                                                                                                                Caro-Kann Defense: Panov, Fianchetto Defense, Fianchetto Gambit"
"Ray Robson                                                          (2667)","Hikaru Nakamura                                                          (2746)","0-1",55,2019,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Dragon, Main Line, 9...Bd7 10.O-O-O"
"Jan-Krzysztof Duda                                                          (2729)","Hikaru Nakamura                                                          (2754)","0-1",34,2019,"1. d4 Nf6 2. Bg5 e6 3. e4 h6                                                                                                                Trompowsky Attack: Classical, Big Center Variation"
"Ian Nepomniachtchi                                                          (2776)","Hikaru Nakamura                                                          (2745)","0-1",44,2019,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: 4.O-O Nf6"
"Sergey Karjakin                                                          (2752)","Hikaru Nakamura                                                          (2761)","½-½",72,2019,"1. c4 Nf6 2. Nc3 e5 3. Nf3 Nc6                                                                                                                English Opening: Two Knights Variation"
"Vladimir Kramnik                                                          (2753)","Hikaru Nakamura                                                          (2736)","½-½",60,2019,"1. c4 Nf6 2. Nc3 e5 3. Nf3 Nc6                                                                                                                English Opening: Two Knights Variation"
"Ian Nepomniachtchi                                                          (2774)","Hikaru Nakamura                                                          (2743)","1-0",69,2019,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Magnus Carlsen                                                          (2875)","Hikaru Nakamura                                                          (2754)","1-0",43,2019,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Teimour Radjabov                                                          (2759)","Hikaru Nakamura                                                          (2761)","½-½",12,2019,"1. Nf3 Nf6 2. g3 d5 3. Bg2 e6                                                                                                                King's Indian Attack: Yugoslav Variation"
"Ian Nepomniachtchi                                                          (2776)","Hikaru Nakamura                                                          (2745)","0-1",45,2019,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Four Knights Game: Spanish Variation"
"Ian Nepomniachtchi                                                          (2776)","Hikaru Nakamura                                                          (2745)","0-1",26,2019,"1. e4 c5 2. Nf3 Nc6 3. Nc3 Nf6                                                                                                                Sicilian Defense: Closed, Traditional Line, 3.Nf3"
"Ian Nepomniachtchi                                                          (2776)","Hikaru Nakamura                                                          (2745)","½-½",92,2019,"1. e4 g6 2. d4 Bg7 3. Nc3 c6                                                                                                                Modern Defense: Standard Line, 3...c6"
"Jan-Krzysztof Duda                                                          (2731)","Hikaru Nakamura                                                          (2749)","½-½",69,2019,"1. c4 Nf6 2. Nf3 e6 3. g3 d5                                                                                                                English Opening: Neo-Catalan Defense"
"Wesley So                                                          (2760)","Hikaru Nakamura                                                          (2741)","0-1",61,2019,"1. d4 Nf6 2. Nf3 d5 3. g3 c5                                                                                                                Queen's Pawn Opening: Symmetrical Variation"
"David W L Howell                                                          (2685)","Hikaru Nakamura                                                          (2749)","½-½",30,2019,"1. c4 Nf6 2. Nc3 e6 3. e4 d5                                                                                                                English Opening: Mikėnas-Carls Variation, 3...d5 4.cxd5"
"Daniel Naroditsky                                                          (2616)","Hikaru Nakamura                                                          (2749)","1-0",60,2019,"1. Nf3 Nf6 2. g3 d5 3. Bg2 e6                                                                                                                King's Indian Attack: Yugoslav Variation"
"Viswanathan Anand                                                          (2764)","Hikaru Nakamura                                                          (2754)","1-0",84,2019,"1. e4 d6 2. d4 g6 3. Nc3 Bg7                                                                                                                Modern Defense with 1.e4: 2.d4 d6 3.Nc3"
"Samuel Shankland                                                          (2725)","Hikaru Nakamura                                                          (2749)","0-1",49,2019,"1. d4 Nf6 2. c4 e6 3. Nc3 Bb4                                                                                                                Nimzo-Indian Defense: Classical Variation, 4...O-O 5.Bg5"
"Ian Nepomniachtchi                                                          (2773)","Hikaru Nakamura                                                          (2741)","0-1",30,2019,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: 4.O-O Nf6"
"Daniil Dubov                                                          (2700)","Hikaru Nakamura                                                          (2754)","0-1",64,2019,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Viswanathan Anand                                                          (2756)","Hikaru Nakamura                                                          (2743)","½-½",26,2019,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, l'Hermet, Berlin Wall Defense"
"Anish Giri                                                          (2776)","Hikaru Nakamura                                                          (2741)","½-½",18,2019,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Bassem Amin                                                          (2704)","Hikaru Nakamura                                                          (2761)","1-0",85,2019,"1. e4 c5 2. Nf3 e6 3. d3 Nc6                                                                                                                Sicilian Defense: French Variation"
"Ian Nepomniachtchi                                                          (2776)","Hikaru Nakamura                                                          (2745)","½-½",92,2019,"1. e4 g6 2. d4 Bg7 3. Nc3 c6                                                                                                                Modern Defense: Standard Line, 3...c6"
"Ray Robson                                                          (2667)","Hikaru Nakamura                                                          (2746)","0-1",55,2019,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Dragon, Main Line, 9...Bd7 10.O-O-O"
"Ladia Jirasek                                                          (2376)","Hikaru Nakamura                                                          (2749)","0-1",61,2019,"1. e4 c6 2. d4 d5 3. exd5 cxd5                                                                                                                Caro-Kann Defense: Panov, Fianchetto Defense, Fianchetto Gambit"
"Magnus Carlsen                                                          (2870)","Hikaru Nakamura                                                          (2741)","½-½",20,2019,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, Rio Gambit Accepted, 5.Re1 Nd6 6.Nxe5"
"Wei Yi                                                          (2736)","Hikaru Nakamura                                                          (2761)","½-½",41,2019,"1. Nf3 d5 2. e3 Nf6 3. c4 e6                                                                                                                Réti Opening: 1...d5"
"Mircea-Emilian Parligras                                                          (2629)","Hikaru Nakamura                                                          (2745)","½-½",35,2019,"1. d4 d5 2. c4 dxc4 3. e3 Nf6                                                                                                                Queen's Gambit Accepted: Old Variation"
"Levon Aronian                                                          (2765)","Hikaru Nakamura                                                          (2743)","½-½",40,2019,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Dragon, Classical Variation, 6...a6"
"Anton Demchenko                                                          (2655)","Hikaru Nakamura                                                          (2745)","½-½",21,2019,"1. d4 d5 2. Nf3 Nf6 3. Bf4 e6                                                                                                                London System"
"Baskaran Adhiban                                                          (2639)","Hikaru Nakamura                                                          (2745)","½-½",30,2019,"1. d4 d5 2. c4 dxc4 3. Nf3 Nf6                                                                                                                Queen's Gambit Accepted: Classical, Main Line"
"Jan-Krzysztof Duda                                                          (2731)","Hikaru Nakamura                                                          (2749)","0-1",61,2019,"1. c4 Nf6 2. Nf3 e6 3. g3 d5                                                                                                                English Opening: Neo-Catalan Defense"
"Ian Nepomniachtchi                                                          (2776)","Hikaru Nakamura                                                          (2745)","1-0",32,2019,"1. e4 c6 2. Nf3 d5 3. Nc3 dxe4                                                                                                                Caro-Kann Defense: Two Knights Attack"
"Jan-Krzysztof Duda                                                          (2731)","Hikaru Nakamura                                                          (2749)","½-½",107,2019,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation"
