"Player 1","Player 2","Result","Moves","Year","Opening"
"Hikaru Nakamura                                                          (2775)","Teimour Radjabov                                                          (2745)","1-0",41,2013,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Löwenthal, Kalashnikov Variation"
"Rauf Mamedov                                                          (2647)","Hikaru Nakamura                                                          (2786)","½-½",114,2013,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Sveshnikov, Novosibirsk Variation"
"Viswanathan Anand                                                          (2786)","Hikaru Nakamura                                                          (2784)","0-1",45,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 g6                                                                                                                Ruy López Opening: Fianchetto Defense"
"Viswanathan Anand                                                          (2772)","Hikaru Nakamura                                                          (2769)","½-½",28,2013,"1. e4 e6 2. d4 d5 3. Nc3 Nf6                                                                                                                French Defense: Classical, Steinitz, Boleslavsky Variation"
"Jon Ludvig Hammer                                                          (2608)","Hikaru Nakamura                                                          (2775)","0-1",33,2013,"1. d4 d5 2. c4 e6 3. Nf3 c6                                                                                                                Slav Defense: Modern, Triangle, Noteboom Variation"
"Peter Svidler                                                          (2740)","Hikaru Nakamura                                                          (2783)","0-1",29,2013,"1. d4 Nf6 2. c4 g6 3. Nc3 Bg7                                                                                                                King's Indian Defense: Makogonov Variation"
"Vladimir Kramnik                                                          (2803)","Hikaru Nakamura                                                          (2784)","0-1",59,2013,"1. c4 Nf6 2. Nc3 g6 3. g3 Bg7                                                                                                                English Opening: Anglo-Indian, Queen's Knight Variation"
"Sergey Karjakin                                                          (2767)","Hikaru Nakamura                                                          (2775)","1-0",59,2013,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Najdorf Variation"
"Anish Giri                                                          (2737)","Hikaru Nakamura                                                          (2772)","½-½",39,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, l'Hermet, Berlin Wall Defense"
"Levon Aronian                                                          (2813)","Hikaru Nakamura                                                          (2775)","0-1",53,2013,"1. d4 Nf6 2. Nf3 e6 3. e3 g6                                                                                                                Indian Game: Yusupov-Rubinstein System"
"Baskaran Adhiban                                                          (2567)","Hikaru Nakamura                                                          (2772)","0-1",42,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Exchange, Keres Variation"
"Alexander Grischuk                                                          (2785)","Hikaru Nakamura                                                          (2772)","½-½",42,2013,"1. d4 d5 2. Nf3 Nf6 3. c4 e6                                                                                                                Queen's Pawn Opening: Symmetrical Variation"
"Leinier Dominguez Perez                                                          (2757)","Hikaru Nakamura                                                          (2772)","½-½",44,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Open, Main Line"
"Vassily Ivanchuk                                                          (2731)","Hikaru Nakamura                                                          (2786)","½-½",40,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Four Knights Game: Double Spanish, Symmetrical, Metger Unpin"
"Wang Hao                                                          (2752)","Hikaru Nakamura                                                          (2769)","0-1",38,2013,"1. d4 d5 2. c4 e6 3. Nf3 c6                                                                                                                Slav Defense: Modern, Triangle System"
"Berge Ostenstad                                                          (2465)","Hikaru Nakamura                                                          (2783)","0-1",42,2013,"1. d4 Nf6 2. Nf3 g6 3. c4 Bg7                                                                                                                King's Indian Defense: Normal Variation"
"Fabiano Caruana                                                          (2774)","Hikaru Nakamura                                                          (2784)","0-1",39,2013,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Najdorf Variation"
"Leinier Dominguez Perez                                                          (2723)","Hikaru Nakamura                                                          (2775)","½-½",80,2013,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5                                                                                                                Scandinavian Defense: Mieses-Kotrč, Main Line"
"Loek van Wely                                                          (2679)","Hikaru Nakamura                                                          (2769)","½-½",67,2013,"1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+                                                                                                                Bogo-Indian Defense: Wade-Smyslov Variation"
"Magnus Carlsen                                                          (2864)","Hikaru Nakamura                                                          (2784)","1-0",47,2013,"1. c4 e6 2. g3 d5 3. Bg2 c6                                                                                                                English Opening: Agincourt Defense"
"Romain Edouard                                                          (2666)","Hikaru Nakamura                                                          (2784)","0-1",35,2013,"1. d4 f5 2. g3 Nf6 3. Bg2 g6                                                                                                                Dutch Defense: Fianchetto, Semi-Leningrad Variation"
"Alexandra Kosteniuk                                                          (2489)","Hikaru Nakamura                                                          (2784)","0-1",26,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Open, Bernstein Variation"
"Romain Edouard                                                          (2666)","Hikaru Nakamura                                                          (2784)","½-½",49,2013,"1. Nf3 d5 2. d4 Nf6 3. c4 e6                                                                                                                Queen's Gambit Declined: Three Knights, Vienna, Quiet Variation"
"Anton Korobov                                                          (2720)","Hikaru Nakamura                                                          (2772)","1-0",47,2013,"1. d4 d5 2. c4 c6 3. Nc3 e6                                                                                                                Queen's Gambit Declined: Semi-Slav Defense, Accelerated Move-Order"
"Hou Yifan                                                          (2603)","Hikaru Nakamura                                                          (2769)","0-1",48,2013,"1. e4 c5 2. Nf3 Nc6 3. Nc3 g6                                                                                                                Sicilian Defense: Old Sicilian Variation"
"Vassily Ivanchuk                                                          (2731)","Hikaru Nakamura                                                          (2772)","0-1",55,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Anderssen Variation"
"Etienne Bacrot                                                          (2725)","Hikaru Nakamura                                                          (2784)","0-1",34,2013,"1. d4 d5 2. c4 e6 3. Nf3 Nf6                                                                                                                Queen's Gambit Declined: Three Knights, Vienna Variation"
"Magnus Carlsen                                                          (2864)","Hikaru Nakamura                                                          (2784)","½-½",67,2013,"1. d4 Nf6 2. Nf3 g6 3. Bg5 Bg7                                                                                                                Torre Attack: Fianchetto Defense"
"Vladimir Kramnik                                                          (2803)","Hikaru Nakamura                                                          (2784)","½-½",55,2013,"1. c4 e6 2. Nf3 b6 3. g3 Bb7                                                                                                                English Opening: Agincourt Defense"
"Hikaru Nakamura                                                          (2775)","Fabiano Caruana                                                          (2774)","½-½",84,2013,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Schlechter, Makogonov Variation"
"Hikaru Nakamura                                                          (2772)","Baskaran Adhiban                                                          (2567)","1-0",40,2013,"1. d4 Nf6 2. c4 g6 3. Nc3 Bg7                                                                                                                King's Indian Defense: Orthodox, Exchange Variation"
"Hikaru Nakamura                                                          (2784)","Dmitry Andreikin                                                          (2713)","½-½",23,2013,"1. d4 Nf6 2. c4 e6 3. Nf3 b6                                                                                                                Queen's Indian Defense: Petrosian Variation"
"Hikaru Nakamura                                                          (2767)","Anish Giri                                                          (2727)","½-½",71,2013,"1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+                                                                                                                Bogo-Indian Defense: Exchange Variation"
"Hikaru Nakamura                                                          (2786)","Gawain C B Jones                                                          (2654)","1-0",84,2013,"1. b3 e5 2. Bb2 Nc6 3. e3 Nf6                                                                                                                Nimzowitsch-Larsen Attack: Modern Variation"
"Hikaru Nakamura                                                          (2786)","Boris Gelfand                                                          (2777)","½-½",78,2013,"1. b3 Nf6 2. Bb2 d5 3. e3 e6                                                                                                                Nimzowitsch-Larsen Attack: Indian Variation"
"Hikaru Nakamura                                                          (2775)","Peter Svidler                                                          (2769)","1-0",56,2013,"1. c4 g6 2. e4 e5 3. d4 Nf6                                                                                                                English Opening: Great Snake, Adorján Defense"
"Hikaru Nakamura                                                          (2772)","Gata Kamsky                                                          (2741)","1-0",42,2013,"1. e4 c5 2. Nf3 e6 3. d4 cxd4                                                                                                                Sicilian Defense: Kan, Knight Variation, Wing Attack"
"Hikaru Nakamura                                                          (2769)","Pentala Harikrishna                                                          (2698)","½-½",66,2013,"1. g3 Nf6 2. Bg2 d5 3. d3 e5                                                                                                                King's Fianchetto Opening: Indian Defense"
"Hikaru Nakamura                                                          (2775)","Sergey Karjakin                                                          (2767)","0-1",32,2013,"1. c4 c5 2. Nf3 Nc6 3. d4 cxd4                                                                                                                English Opening: Symmetrical Variation"
"Hikaru Nakamura                                                          (2775)","Wang Hao                                                          (2743)","1-0",42,2013,"1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6                                                                                                                Petrov's Defense: Classical, Nimzowitsch Attack"
"Ruslan Ponomariov                                                          (2733)","Hikaru Nakamura                                                          (2767)","½-½",83,2013,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Najdorf, Anti-English Variation"
"Hikaru Nakamura                                                          (2775)","Jon Ludvig Hammer                                                          (2608)","1-0",37,2013,"1. c4 e5 2. a3 Nf6 3. e3 c6                                                                                                                English Opening: King's English Variation"
"Hikaru Nakamura                                                          (2769)","Levon Aronian                                                          (2802)","0-1",48,2013,"1. d4 d5 2. c4 c6 3. Nc3 Nf6                                                                                                                Slav Defense"
"Hikaru Nakamura                                                          (2767)","Gata Kamsky                                                          (2741)","½-½",70,2013,"1. d4 d5 2. c4 c6 3. Nc3 Nf6                                                                                                                Slav Defense"
"Hikaru Nakamura                                                          (2775)","Veselin Topalov                                                          (2793)","½-½",38,2013,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Najdorf, Opočenský Variation"
"Hikaru Nakamura                                                          (2775)","Etienne Bacrot                                                          (2725)","½-½",73,2013,"1. e4 e5 2. Bc4 Nf6 3. Nc3 Bc5                                                                                                                Bishop's Opening: Berlin, Spielmann Attack"
"Hikaru Nakamura                                                          (2767)","Teimour Radjabov                                                          (2793)","½-½",54,2013,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Sveshnikov, Chelyabinsk Variation"
"Hikaru Nakamura                                                          (2784)","Dmitry Andreikin                                                          (2713)","1-0",42,2013,"1. d4 Nf6 2. Bg5 d5 3. Bxf6 exf6                                                                                                                Trompowsky Attack"
"Hikaru Nakamura                                                          (2786)","Judit Polgar                                                          (2693)","½-½",52,2013,"1. d4 Nf6 2. Bg5 Ne4 3. Bf4 d5                                                                                                                Trompowsky Attack"
"Hikaru Nakamura                                                          (2775)","Viswanathan Anand                                                          (2783)","1-0",54,2013,"1. c4 c5 2. Nf3 Nc6 3. d4 cxd4                                                                                                                English Opening: Symmetrical Variation"
"Hikaru Nakamura                                                          (2786)","Boris Gelfand                                                          (2777)","1-0",36,2013,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Russian, Hungarian Variation"
"Hikaru Nakamura                                                          (2769)","Ivan Sokolov                                                          (2663)","½-½",90,2013,"1. c4 e5 2. Nc3 Nf6 3. g3 Bb4                                                                                                                English Opening: Carls-Bremen, Smyslov System"
"Hikaru Nakamura                                                          (2775)","Peter Svidler                                                          (2769)","½-½",31,2013,"1. e4 e5 2. Nf3 Nc6 3. c3 d5                                                                                                                Ponziani Opening: Leonhardt Variation"
"Hikaru Nakamura                                                          (2786)","Vladimir Kramnik                                                          (2793)","1-0",66,2013,"1. d4 Nf6 2. c4 e6 3. Nc3 d5                                                                                                                Queen's Gambit Declined: Exchange Variation"
"Hikaru Nakamura                                                          (2786)","Chao Li b                                                          (2679)","1-0",39,2013,"1. Nf3 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                English Opening: Anglo-Indian, Anglo-Grünfeld Defense"
"Hikaru Nakamura                                                          (2767)","Alexander Morozevich                                                          (2758)","1-0",34,2013,"1. Nf3 Nf6 2. d4 g6 3. c4 Bg7                                                                                                                King's Indian Defense: Orthodox Variation"
"Veselin Topalov                                                          (2771)","Hikaru Nakamura                                                          (2767)","1-0",72,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Closed, Martinez Variation"
"Peter Svidler                                                          (2769)","Hikaru Nakamura                                                          (2775)","½-½",43,2013,"1. c4 g6 2. g3 Bg7 3. Bg2 f5                                                                                                                English Opening: Great Snake Variation"
"Rustam Kasimdzhanov                                                          (2699)","Hikaru Nakamura                                                          (2775)","1-0",69,2013,"1. d4 Nf6 2. c4 c5 3. d5 g6                                                                                                                Benoni Defense"
"Magnus Carlsen                                                          (2868)","Hikaru Nakamura                                                          (2775)","1-0",62,2013,"1. g3 g6 2. Bg2 Bg7 3. Nf3 e5                                                                                                                King's Fianchetto Opening: Symmetrical Variation"
"Vladimir Kramnik                                                          (2793)","Hikaru Nakamura                                                          (2786)","½-½",65,2013,"1. Nf3 Nf6 2. c4 g6 3. b3 Bg7                                                                                                                English Opening: Anglo-Indian, King's Indian Defense"
"Alexander Morozevich                                                          (2760)","Hikaru Nakamura                                                          (2775)","½-½",38,2013,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Scheveningen, English Attack with 7.f3"
"Hikaru Nakamura                                                          (2772)","Magnus Carlsen                                                          (2862)","½-½",32,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, Rio Gambit Accepted"
"Hikaru Nakamura                                                          (2769)","Anish Giri                                                          (2720)","½-½",42,2013,"1. e4 c5 2. Nf3 e6 3. b3 a6                                                                                                                Sicilian Defense: Westerinen Attack"
"Hikaru Nakamura                                                          (2784)","Sergey Karjakin                                                          (2782)","1-0",52,2013,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Exchange Variation"
"Hikaru Nakamura                                                          (2772)","Laurent Fressinet                                                          (2708)","½-½",31,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin Defense"
"Hikaru Nakamura                                                          (2772)","Etienne Bacrot                                                          (2723)","1-0",35,2013,"1. d4 d5 2. c4 e6 3. Nc3 Be7                                                                                                                Queen's Gambit Declined: Charousek Variation"
"Hikaru Nakamura                                                          (2769)","Sergey Karjakin                                                          (2780)","½-½",50,2013,"1. d4 Nf6 2. c4 e6 3. Nf3 b6                                                                                                                Queen's Indian Defense: Fianchetto, Nimzowitsch Variation"
"Hikaru Nakamura                                                          (2786)","Georg Meier                                                          (2623)","1-0",87,2013,"1. d4 Nf6 2. c4 e6 3. Nc3 d5                                                                                                                Queen's Gambit Declined: Modern Variation"
"Hikaru Nakamura                                                          (2784)","Shakhriyar Mamedyarov                                                          (2753)","0-1",31,2013,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: Ragozin, Alekhine Variation"
"Hikaru Nakamura                                                          (2784)","Romain Edouard                                                          (2666)","1-0",33,2013,"1. d4 e6 2. e4 d5 3. Nc3 Bb4                                                                                                                French Defense: Winawer, Delayed Exchange Variation"
"Hikaru Nakamura                                                          (2784)","Alexander Morozevich                                                          (2760)","0-1",49,2013,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: Traditional, Vienna Variation"
"Hikaru Nakamura                                                          (2784)","Alexander Morozevich                                                          (2760)","1-0",41,2013,"1. Nf3 Nf6 2. g3 g6 3. d3 Bg7                                                                                                                Réti Opening: King's Indian Attack, Symmetrical Defense"
"Hikaru Nakamura                                                          (2784)","Romain Edouard                                                          (2666)","½-½",89,2013,"1. e4 e6 2. d3 d5 3. Nd2 c5                                                                                                                French Defense: King's Indian Attack"
"Hikaru Nakamura                                                          (2772)","Boris Gelfand                                                          (2764)","0-1",41,2013,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Najdorf, Anti-English Variation"
"Hikaru Nakamura                                                          (2784)","Alexandra Kosteniuk                                                          (2489)","1-0",54,2013,"1. e4 c6 2. Nf3 d5 3. Nc3 Bg4                                                                                                                Caro-Kann Defense: Two Knights, Mindeno, Exchange Line"
"Hikaru Nakamura                                                          (2772)","Eltaj Safarli                                                          (2660)","1-0",36,2013,"1. d4 Nf6 2. c4 g6 3. f3 e6                                                                                                                King's Indian Defense: Alekhine Anti-Grünfeld Variation"
"Hikaru Nakamura                                                          (2783)","Danny Raznikov                                                          (2486)","½-½",76,2013,"1. g3 e5 2. Bg2 Nf6 3. e4 Nc6                                                                                                                King's Fianchetto Opening"
"Hikaru Nakamura                                                          (2783)","Ioannis Papaioannou                                                          (2633)","½-½",35,2013,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Najdorf, English Attack"
"Hikaru Nakamura                                                          (2784)","Etienne Bacrot                                                          (2725)","1-0",57,2013,"1. e4 c5 2. Nf3 e6 3. c3 d5                                                                                                                Sicilian Defense: Alapin Variation, 2...e6 3.Nf3"
"Hikaru Nakamura                                                          (2769)","Erwin l'Ami                                                          (2627)","½-½",41,2013,"1. e4 c6 2. d4 d5 3. e5 Bf5                                                                                                                Caro-Kann Defense: Advance, Short Variation with 4.Nf3"
"Hikaru Nakamura                                                          (2775)","Magnus Carlsen                                                          (2868)","½-½",38,2013,"1. e4 e5 2. Nc3 Nc6 3. Bc4 Nf6                                                                                                                Bishop's Opening: Berlin, Vienna Hybrid Variation"
"Hikaru Nakamura                                                          (2767)","Fabiano Caruana                                                          (2772)","½-½",57,2013,"1. d4 d5 2. c4 c6 3. cxd5 cxd5                                                                                                                Slav Defense: Exchange Variation"
"Hikaru Nakamura                                                          (2784)","Boris Gelfand                                                          (2755)","0-1",45,2013,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Sveshnikov Variation"
"Hikaru Nakamura                                                          (2784)","Vladimir Kramnik                                                          (2803)","½-½",51,2013,"1. d4 d5 2. Nc3 Nf6 3. Bg5 c6                                                                                                                Richter-Veresov Attack"
"Hikaru Nakamura                                                          (2784)","Vladimir Kramnik                                                          (2803)","½-½",84,2013,"1. d4 Nf6 2. Nc3 d5 3. Bg5 c6                                                                                                                Richter-Veresov Attack"
"Hikaru Nakamura                                                          (2786)","Vladimir Kramnik                                                          (2793)","1-0",50,2013,"1. d4 Nf6 2. c4 e6 3. Nc3 Bb4                                                                                                                Nimzo-Indian Defense: Classical Variation"
"Hikaru Nakamura                                                          (2772)","Anton Korobov                                                          (2720)","½-½",20,2013,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Najdorf, Opočenský, Traditional Line"
"Hikaru Nakamura                                                          (2786)","Anish Giri                                                          (2732)","½-½",30,2013,"1. d4 Nf6 2. c4 g6 3. Nc3 d5                                                                                                                Grünfeld Defense: Russian, Hungarian Variation"
"Hikaru Nakamura                                                          (2775)","Ruslan Ponomariov                                                          (2742)","½-½",49,2013,"1. d4 Nf6 2. Nc3 d5 3. Bg5 Nbd7                                                                                                                Richter-Veresov Attack"
"Hikaru Nakamura                                                          (2772)","Levon Aronian                                                          (2813)","1-0",41,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Anti-Marshall Variation"
"Hikaru Nakamura                                                          (2784)","Shakhriyar Mamedyarov                                                          (2753)","1-0",23,2013,"1. d4 d5 2. Nc3 Nf6 3. Bg5 Bf5                                                                                                                Richter-Veresov Attack: Veresov Variation"
"Hikaru Nakamura                                                          (2772)","Fabiano Caruana                                                          (2779)","1-0",34,2013,"1. d4 Nf6 2. c4 g6 3. f3 d5                                                                                                                King's Indian Defense: Alekhine Anti-Grünfeld, Neo-Grünfeld Defense, Goglidze Attack"
"Hikaru Nakamura                                                          (2784)","Vladimir Kramnik                                                          (2803)","½-½",43,2013,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, Rio Gambit Accepted"
"Hikaru Nakamura                                                          (2784)","Fabiano Caruana                                                          (2774)","1-0",52,2013,"1. d4 d5 2. Nc3 Nf6 3. Bg5 Nbd7                                                                                                                Richter-Veresov Attack"
"Hikaru Nakamura                                                          (2775)","Veselin Topalov                                                          (2793)","1-0",74,2013,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Najdorf, Opočenský, Traditional Line"
"Nigel D Short                                                          (2683)","Hikaru Nakamura                                                          (2786)","0-1",60,2013,"1. e4 c5 2. Nc3 Nc6 3. g3 g6                                                                                                                Sicilian Defense: Closed, Fianchetto Variation"
"Shakhriyar Mamedyarov                                                          (2766)","Hikaru Nakamura                                                          (2767)","0-1",22,2013,"1. d4 d5 2. c4 c6 3. Nc3 dxc4                                                                                                                Slav Defense"
"Hikaru Nakamura                                                          (2759)","Teimour Radjabov                                                          (2773)","½-½",28,2012,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Sveshnikov, Novosibirsk Variation"
"Radoslaw Wojtaszek                                                          (2717)","Hikaru Nakamura                                                          (2778)","1-0",49,2012,"1. d4 d5 2. c4 dxc4 3. e4 Nf6                                                                                                                Queen's Gambit Accepted: Central Variation, Alekhine System"
"Alexander Morozevich                                                          (2769)","Hikaru Nakamura                                                          (2775)","½-½",52,2012,"1. Nf3 e6 2. c4 b6 3. g3 Bb7                                                                                                                English Opening: Agincourt Defense"
"Vugar Gashimov                                                          (2761)","Hikaru Nakamura                                                          (2759)","½-½",11,2012,"1. e4 c5 2. Nc3 e6 3. Nf3 a6                                                                                                                Sicilian Defense: Kan, Knight Variation, Wing Attack"
"Fabiano Caruana                                                          (2770)","Hikaru Nakamura                                                          (2775)","½-½",107,2012,"1. d4 d5 2. c4 dxc4 3. Nf3 a6                                                                                                                Queen's Gambit Accepted: Alekhine Variation"
"Shakhriyar Mamedyarov                                                          (2764)","Hikaru Nakamura                                                          (2760)","0-1",75,2012,"1. d4 Nf6 2. c4 e6 3. Nc3 Bb4                                                                                                                Nimzo-Indian Defense: Classical Variation"
"Levon Aronian                                                          (2825)","Hikaru Nakamura                                                          (2775)","1-0",53,2012,"1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6                                                                                                                English Opening: Four Knights, Kingside Fianchetto Line"
"Levon Aronian                                                          (2805)","Hikaru Nakamura                                                          (2759)","1-0",59,2012,"1. d4 f5 2. g3 Nf6 3. Bg2 g6                                                                                                                Dutch Defense: Leningrad, Main Line, Warsaw Variation"
"Gata Kamsky                                                          (2732)","Hikaru Nakamura                                                          (2759)","½-½",44,2012,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Open, Dragon, Rauzer Variation"
"Dmitry Andreikin                                                          (2718)","Hikaru Nakamura                                                          (2786)","1-0",33,2012,"1. d4 Nf6 2. c4 g6 3. Nc3 Bg7                                                                                                                King's Indian Defense: Normal Variation"
"Hikaru Nakamura                                                          (2771)","Jamin Gluckie                                                          (2098)","1-0",31,2012,"1. d4 e6 2. c4 f5 3. g3 Nf6                                                                                                                Dutch Defense: Classical Variation"
"Eduardo Iturrizaga Bonelli                                                          (2627)","Hikaru Nakamura                                                          (2778)","½-½",30,2012,"1. d4 f5 2. Nc3 Nf6 3. Bg5 d5                                                                                                                Dutch Defense: Raphael Variation"
"Hikaru Nakamura                                                          (2775)","Teimour Radjabov                                                          (2784)","½-½",39,2012,"1. e4 c5 2. Nf3 Nc6 3. Bb5 e6                                                                                                                Sicilian Defense: Nyezhmetdinov-Rossolimo Attack"
"Hikaru Nakamura                                                          (2771)","Nino Maisuradze                                                          (2320)","1-0",34,2012,"1. e4 c5 2. Nc3 Nc6 3. Nge2 e5                                                                                                                Sicilian Defense: Chameleon Variation"
"Hikaru Nakamura                                                          (2778)","Krishnan Sasikiran                                                          (2707)","1-0",39,2012,"1. e4 e5 2. Nf3 Nc6 3. d4 exd4                                                                                                                Scotch Game: Schmidt, Mieses Variation"
"Hikaru Nakamura                                                          (2760)","Laurent Fressinet                                                          (2700)","0-1",95,2012,"1. c4 Nf6 2. Nc3 e5 3. g3 d5                                                                                                                English Opening: Carls-Bremen, Reversed Dragon Variation"
"Hikaru Nakamura                                                          (2775)","Magnus Carlsen                                                          (2835)","½-½",43,2012,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Indian Game: East Indian, Anti-Nimzo-Indian Variation"
"Hikaru Nakamura                                                          (2775)","Vladimir Kramnik                                                          (2801)","½-½",40,2012,"1. c4 c5 2. Nf3 Nc6 3. d4 cxd4                                                                                                                English Opening: Symmetrical, Anti-Benoni, Spielmann Defense"
"Hikaru Nakamura                                                          (2786)","Andreas G R Moen                                                          (2377)","1-0",41,2012,"1. Nf3 d5 2. g3 Nf6 3. Bg2 Bg4                                                                                                                King's Indian Attack: Yugoslav Variation"
"Hikaru Nakamura                                                          (2771)","Emil Sutovsky                                                          (2700)","½-½",10,2012,"1. g3 g6 2. Bg2 Bg7 3. f4 d5                                                                                                                King's Fianchetto Opening: Symmetrical Variation"
"Hikaru Nakamura                                                          (2760)","Gata Kamsky                                                          (2762)","1-0",70,2012,"1. Nf3 Nf6 2. c4 c6 3. d4 d5                                                                                                                Slav Defense: Modern, Chameleon, Advance System"
"Levon Aronian                                                          (2815)","Hikaru Nakamura                                                          (2760)","½-½",44,2012,"1. d4 Nf6 2. c4 e6 3. Nf3 c5                                                                                                                Benoni Defense: Modern Variation"
"Evgeny Tomashevsky                                                          (2738)","Hikaru Nakamura                                                          (2775)","½-½",43,2012,"1. c4 f5 2. Nc3 Nf6 3. d4 d6                                                                                                                Dutch Defense: Queen's Knight Variation"
"Hikaru Nakamura                                                          (2778)","Vladimir Kramnik                                                          (2797)","1-0",80,2012,"1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7                                                                                                                Réti Opening: King's Indian Attack, Symmetrical Defense"
"Hou Yifan                                                          (2623)","Hikaru Nakamura                                                          (2775)","½-½",71,2012,"1. e4 c5 2. Nf3 d6 3. d4 cxd4                                                                                                                Sicilian Defense: Chekhover Variation"
